,function.,variable,copy_number,plant_nr
97,09107 Glycan biosynthesis and metabolism,C11_A,3.492826862,C11
98,09108 Metabolism of cofactors and vitamins,C11_A,5.329567099,C11
99,09122 Translation,C11_A,13.42889274,C11
100,09124 Replication and repair,C11_A,1.197241712,C11
101,09131 Membrane transport,C11_A,1.825972307,C11
102,09132 Signal transduction,C11_A,1.240771312,C11
103,09142 Cell motility,C11_A,2.591299935,C11
104,09181 Protein families: metabolism,C11_A,2.246551445,C11
105,09182 Protein families: genetic information processing,C11_A,9.47047054,C11
106,09183 Protein families: signaling and cellular processes,C11_A,4.351414123,C11
107,09191 Unclassified: metabolism,C11_A,5.339357849,C11
108,Other,C11_A,4.333080556,C11
109,09101 Carbohydrate metabolism,C11_B,16.32733639,C11
110,09102 Energy metabolism,C11_B,8.263511187,C11
111,09103 Lipid metabolism,C11_B,4.392694188,C11
112,09104 Nucleotide metabolism,C11_B,4.035182173,C11
113,09105 Amino acid metabolism,C11_B,9.669447494,C11
114,09106 Metabolism of other amino acids,C11_B,1.447582309,C11
115,09107 Glycan biosynthesis and metabolism,C11_B,4.024259834,C11
116,09108 Metabolism of cofactors and vitamins,C11_B,5.204131298,C11
117,09122 Translation,C11_B,13.79947246,C11
118,09124 Replication and repair,C11_B,1.104520836,C11
119,09131 Membrane transport,C11_B,1.893364943,C11
120,09132 Signal transduction,C11_B,1.271295308,C11
121,09142 Cell motility,C11_B,2.662899977,C11
122,09181 Protein families: metabolism,C11_B,2.110313652,C11
123,09182 Protein families: genetic information processing,C11_B,9.704636027,C11
124,09183 Protein families: signaling and cellular processes,C11_B,4.809729164,C11
125,09191 Unclassified: metabolism,C11_B,5.064321809,C11
126,Other,C11_B,4.215300958,C11
127,09101 Carbohydrate metabolism,C11_C,16.46900491,C11
128,09102 Energy metabolism,C11_C,8.36429966,C11
129,09103 Lipid metabolism,C11_C,4.429308645,C11
130,09104 Nucleotide metabolism,C11_C,3.982411242,C11
131,09105 Amino acid metabolism,C11_C,9.721930447,C11
132,09106 Metabolism of other amino acids,C11_C,1.502364029,C11
133,09107 Glycan biosynthesis and metabolism,C11_C,3.802258087,C11
134,09108 Metabolism of cofactors and vitamins,C11_C,5.258510802,C11
135,09122 Translation,C11_C,13.96743077,C11
136,09124 Replication and repair,C11_C,1.097518523,C11
137,09131 Membrane transport,C11_C,1.972404271,C11
138,09132 Signal transduction,C11_C,1.210376689,C11
139,09142 Cell motility,C11_C,2.737567611,C11
140,09181 Protein families: metabolism,C11_C,2.154599777,C11
141,09182 Protein families: genetic information processing,C11_C,9.635719952,C11
142,09183 Protein families: signaling and cellular processes,C11_C,4.4493887,C11
143,09191 Unclassified: metabolism,C11_C,5.018154428,C11
144,Other,C11_C,4.226751453,C11
145,09101 Carbohydrate metabolism,C12_A,16.91889863,C12
146,09102 Energy metabolism,C12_A,8.291268807,C12
147,09103 Lipid metabolism,C12_A,4.455025385,C12
148,09104 Nucleotide metabolism,C12_A,4.025670959,C12
149,09105 Amino acid metabolism,C12_A,9.795531053,C12
150,09106 Metabolism of other amino acids,C12_A,1.500923195,C12
151,09107 Glycan biosynthesis and metabolism,C12_A,3.571448095,C12
152,09108 Metabolism of cofactors and vitamins,C12_A,5.338338341,C12
153,09122 Translation,C12_A,14.04893834,C12
154,09124 Replication and repair,C12_A,1.137935983,C12
155,09131 Membrane transport,C12_A,1.943407147,C12
156,09132 Signal transduction,C12_A,1.189182518,C12
157,09142 Cell motility,C12_A,2.664320207,C12
158,09181 Protein families: metabolism,C12_A,2.229604658,C12
159,09182 Protein families: genetic information processing,C12_A,9.541019136,C12
160,09183 Protein families: signaling and cellular processes,C12_A,4.134012079,C12
161,09191 Unclassified: metabolism,C12_A,5.045829658,C12
162,Other,C12_A,4.168645811,C12
163,09101 Carbohydrate metabolism,C12_B,16.95642601,C12
164,09102 Energy metabolism,C12_B,8.280184254,C12
165,09103 Lipid metabolism,C12_B,4.508578219,C12
166,09104 Nucleotide metabolism,C12_B,3.987544545,C12
167,09105 Amino acid metabolism,C12_B,9.82995412,C12
168,09106 Metabolism of other amino acids,C12_B,1.518776029,C12
169,09107 Glycan biosynthesis and metabolism,C12_B,3.500700162,C12
170,09108 Metabolism of cofactors and vitamins,C12_B,5.402608821,C12
171,09122 Translation,C12_B,14.04125933,C12
172,09124 Replication and repair,C12_B,1.155051019,C12
173,09131 Membrane transport,C12_B,1.920451031,C12
174,09132 Signal transduction,C12_B,1.164935471,C12
175,09142 Cell motility,C12_B,2.648065621,C12
176,09181 Protein families: metabolism,C12_B,2.24639961,C12
177,09182 Protein families: genetic information processing,C12_B,9.510559231,C12
178,09183 Protein families: signaling and cellular processes,C12_B,4.100442431,C12
179,09191 Unclassified: metabolism,C12_B,5.040500985,C12
180,Other,C12_B,4.18756312,C12
181,09101 Carbohydrate metabolism,C12_C,16.96970223,C12
182,09102 Energy metabolism,C12_C,8.239301021,C12
183,09103 Lipid metabolism,C12_C,4.538010537,C12
184,09104 Nucleotide metabolism,C12_C,3.941225019,C12
185,09105 Amino acid metabolism,C12_C,9.915209993,C12
186,09106 Metabolism of other amino acids,C12_C,1.566401815,C12
187,09107 Glycan biosynthesis and metabolism,C12_C,3.423595624,C12
188,09108 Metabolism of cofactors and vitamins,C12_C,5.304936958,C12
189,09122 Translation,C12_C,13.72264877,C12
190,09124 Replication and repair,C12_C,1.166000236,C12
