,function.,variable,copy_number,plant_nr
486,Other,C7_B,4.171587634,C7
487,09101 Carbohydrate metabolism,C7_C,17.0019704,C7
488,09102 Energy metabolism,C7_C,8.335999149,C7
489,09103 Lipid metabolism,C7_C,4.515018115,C7
490,09104 Nucleotide metabolism,C7_C,4.0047639,C7
491,09105 Amino acid metabolism,C7_C,9.86124408,C7
492,09106 Metabolism of other amino acids,C7_C,1.486208946,C7
493,09107 Glycan biosynthesis and metabolism,C7_C,3.499171525,C7
494,09108 Metabolism of cofactors and vitamins,C7_C,5.283504241,C7
495,09122 Translation,C7_C,14.26537879,C7
496,09124 Replication and repair,C7_C,1.158583732,C7
497,09131 Membrane transport,C7_C,1.935296048,C7
498,09132 Signal transduction,C7_C,1.153906362,C7
499,09142 Cell motility,C7_C,2.618960111,C7
500,09181 Protein families: metabolism,C7_C,2.300164677,C7
501,09182 Protein families: genetic information processing,C7_C,9.488914768,C7
502,09183 Protein families: signaling and cellular processes,C7_C,3.957868207,C7
503,09191 Unclassified: metabolism,C7_C,4.962729474,C7
504,Other,C7_C,4.170317479,C7
505,09101 Carbohydrate metabolism,C8_A,16.73430916,C8
506,09102 Energy metabolism,C8_A,8.330767116,C8
507,09103 Lipid metabolism,C8_A,4.555655359,C8
508,09104 Nucleotide metabolism,C8_A,3.832916075,C8
509,09105 Amino acid metabolism,C8_A,9.965002212,C8
510,09106 Metabolism of other amino acids,C8_A,1.680093457,C8
511,09107 Glycan biosynthesis and metabolism,C8_A,3.411778412,C8
512,09108 Metabolism of cofactors and vitamins,C8_A,5.258138884,C8
513,09122 Translation,C8_A,13.43742406,C8
514,09124 Replication and repair,C8_A,1.147434911,C8
515,09131 Membrane transport,C8_A,1.743500921,C8
516,09132 Signal transduction,C8_A,1.331621075,C8
517,09142 Cell motility,C8_A,2.848002046,C8
518,09181 Protein families: metabolism,C8_A,2.252535709,C8
519,09182 Protein families: genetic information processing,C8_A,9.425639673,C8
520,09183 Protein families: signaling and cellular processes,C8_A,4.39774548,C8
521,09191 Unclassified: metabolism,C8_A,5.270568285,C8
522,Other,C8_A,4.376867163,C8
523,09101 Carbohydrate metabolism,C8_B,16.59518056,C8
524,09102 Energy metabolism,C8_B,8.283969385,C8
525,09103 Lipid metabolism,C8_B,4.529936,C8
526,09104 Nucleotide metabolism,C8_B,3.978916183,C8
527,09105 Amino acid metabolism,C8_B,9.903935973,C8
528,09106 Metabolism of other amino acids,C8_B,1.539571076,C8
529,09107 Glycan biosynthesis and metabolism,C8_B,3.578576836,C8
530,09108 Metabolism of cofactors and vitamins,C8_B,5.355895974,C8
531,09122 Translation,C8_B,13.94112629,C8
532,09124 Replication and repair,C8_B,1.183980348,C8
533,09131 Membrane transport,C8_B,1.797906947,C8
534,09132 Signal transduction,C8_B,1.206990519,C8
535,09142 Cell motility,C8_B,2.545267831,C8
536,09181 Protein families: metabolism,C8_B,2.192769082,C8
537,09182 Protein families: genetic information processing,C8_B,9.571388718,C8
538,09183 Protein families: signaling and cellular processes,C8_B,4.358422484,C8
539,09191 Unclassified: metabolism,C8_B,5.174032817,C8
540,Other,C8_B,4.262132975,C8
541,09101 Carbohydrate metabolism,C8_C,16.43742383,C8
542,09102 Energy metabolism,C8_C,8.338388312,C8
543,09103 Lipid metabolism,C8_C,4.445976824,C8
544,09104 Nucleotide metabolism,C8_C,4.079563858,C8
545,09105 Amino acid metabolism,C8_C,9.799405901,C8
546,09106 Metabolism of other amino acids,C8_C,1.453903117,C8
547,09107 Glycan biosynthesis and metabolism,C8_C,3.853876958,C8
548,09108 Metabolism of cofactors and vitamins,C8_C,5.377889366,C8
549,09122 Translation,C8_C,14.19302841,C8
550,09124 Replication and repair,C8_C,1.141152272,C8
551,09131 Membrane transport,C8_C,1.922779835,C8
552,09132 Signal transduction,C8_C,1.140959372,C8
553,09142 Cell motility,C8_C,2.371783374,C8
554,09181 Protein families: metabolism,C8_C,2.112887422,C8
555,09182 Protein families: genetic information processing,C8_C,9.688475733,C8
556,09183 Protein families: signaling and cellular processes,C8_C,4.411809347,C8
557,09191 Unclassified: metabolism,C8_C,5.048140477,C8
558,Other,C8_C,4.182555598,C8
559,09101 Carbohydrate metabolism,C9_A,16.60897361,C9
560,09102 Energy metabolism,C9_A,8.280767302,C9
561,09103 Lipid metabolism,C9_A,4.387697324,C9
562,09104 Nucleotide metabolism,C9_A,3.951184976,C9
563,09105 Amino acid metabolism,C9_A,9.803130366,C9
564,09106 Metabolism of other amino acids,C9_A,1.597230404,C9
565,09107 Glycan biosynthesis and metabolism,C9_A,3.567604464,C9
566,09108 Metabolism of cofactors and vitamins,C9_A,5.25823059,C9
567,09122 Translation,C9_A,13.6332467,C9
568,09124 Replication and repair,C9_A,1.108985166,C9
569,09131 Membrane transport,C9_A,1.996042208,C9
570,09132 Signal transduction,C9_A,1.318305389,C9
571,09142 Cell motility,C9_A,2.845187768,C9
572,09181 Protein families: metabolism,C9_A,2.203008671,C9
573,09182 Protein families: genetic information processing,C9_A,9.575071602,C9
574,09183 Protein families: signaling and cellular processes,C9_A,4.408910755,C9
575,09191 Unclassified: metabolism,C9_A,5.158078599,C9
576,Other,C9_A,4.298344111,C9
577,09101 Carbohydrate metabolism,C9_B,16.58845614,C9
578,09102 Energy metabolism,C9_B,8.29349631,C9
579,09103 Lipid metabolism,C9_B,4.344061145,C9
580,09104 Nucleotide metabolism,C9_B,3.935200484,C9
581,09105 Amino acid metabolism,C9_B,9.722539036,C9
582,09106 Metabolism of other amino acids,C9_B,1.575266068,C9
583,09107 Glycan biosynthesis and metabolism,C9_B,3.549331953,C9
584,09108 Metabolism of cofactors and vitamins,C9_B,5.19079334,C9
585,09122 Translation,C9_B,13.51996575,C9
586,09124 Replication and repair,C9_B,1.082924415,C9
587,09131 Membrane transport,C9_B,2.065464982,C9
588,09132 Signal transduction,C9_B,1.367130915,C9
589,09142 Cell motility,C9_B,3.079173537,C9
590,09181 Protein families: metabolism,C9_B,2.172364419,C9
591,09182 Protein families: genetic information processing,C9_B,9.701194278,C9
592,09183 Protein families: signaling and cellular processes,C9_B,4.449556362,C9
593,09191 Unclassified: metabolism,C9_B,5.077148308,C9
594,Other,C9_B,4.285932557,C9
595,09101 Carbohydrate metabolism,C9_C,16.73346047,C9
596,09102 Energy metabolism,C9_C,8.247356197,C9
597,09103 Lipid metabolism,C9_C,4.362610958,C9
598,09104 Nucleotide metabolism,C9_C,4.048645534,C9
599,09105 Amino acid metabolism,C9_C,9.805485114,C9
600,09106 Metabolism of other amino acids,C9_C,1.505629524,C9
601,09107 Glycan biosynthesis and metabolism,C9_C,3.642107842,C9
602,09108 Metabolism of cofactors and vitamins,C9_C,5.299715795,C9
603,09122 Translation,C9_C,14.2294459,C9
604,09124 Replication and repair,C9_C,1.10123635,C9
605,09131 Membrane transport,C9_C,1.944823705,C9
606,09132 Signal transduction,C9_C,1.203002156,C9
607,09142 Cell motility,C9_C,2.740377321,C9
608,09181 Protein families: metabolism,C9_C,2.190010084,C9
609,09182 Protein families: genetic information processing,C9_C,9.625540034,C9
610,09183 Protein families: signaling and cellular processes,C9_C,4.195249576,C9
611,09191 Unclassified: metabolism,C9_C,4.978597822,C9
612,Other,C9_C,4.146705621,C9
613,09101 Carbohydrate metabolism,J1_A,17.02601431,J1
614,09102 Energy metabolism,J1_A,8.738388958,J1
615,09103 Lipid metabolism,J1_A,4.667029223,J1
616,09104 Nucleotide metabolism,J1_A,3.419389522,J1
617,09105 Amino acid metabolism,J1_A,9.482983203,J1
618,09106 Metabolism of other amino acids,J1_A,1.880672699,J1
619,09107 Glycan biosynthesis and metabolism,J1_A,3.261810859,J1
620,09108 Metabolism of cofactors and vitamins,J1_A,4.768781912,J1
621,09122 Translation,J1_A,12.18536329,J1
622,09124 Replication and repair,J1_A,1.077027443,J1
623,09131 Membrane transport,J1_A,1.67146579,J1
624,09132 Signal transduction,J1_A,1.617004554,J1
625,09142 Cell motility,J1_A,4.211080796,J1
626,09181 Protein families: metabolism,J1_A,2.202778228,J1
627,09182 Protein families: genetic information processing,J1_A,9.499765817,J1
628,09183 Protein families: signaling and cellular processes,J1_A,4.56064708,J1
629,09191 Unclassified: metabolism,J1_A,5.264731475,J1
630,Other,J1_A,4.465064842,J1
631,09101 Carbohydrate metabolism,J1_B,17.18706487,J1
632,09102 Energy metabolism,J1_B,8.7097804,J1
633,09103 Lipid metabolism,J1_B,4.715648778,J1
634,09104 Nucleotide metabolism,J1_B,3.404434946,J1
635,09105 Amino acid metabolism,J1_B,9.560034096,J1
636,09106 Metabolism of other amino acids,J1_B,1.874480139,J1
637,09107 Glycan biosynthesis and metabolism,J1_B,3.166958609,J1
638,09108 Metabolism of cofactors and vitamins,J1_B,4.775975877,J1
639,09122 Translation,J1_B,11.99179252,J1
640,09124 Replication and repair,J1_B,1.074773733,J1
641,09131 Membrane transport,J1_B,1.754556886,J1
642,09132 Signal transduction,J1_B,1.626176623,J1
643,09142 Cell motility,J1_B,4.05341114,J1
644,09181 Protein families: metabolism,J1_B,2.261279794,J1
645,09182 Protein families: genetic information processing,J1_B,9.415105835,J1
646,09183 Protein families: signaling and cellular processes,J1_B,4.509203106,J1
647,09191 Unclassified: metabolism,J1_B,5.379112273,J1
648,Other,J1_B,4.540210384,J1
649,09101 Carbohydrate metabolism,J1_C,16.21478521,J1
650,09102 Energy metabolism,J1_C,8.406657666,J1
651,09103 Lipid metabolism,J1_C,4.185754942,J1
652,09104 Nucleotide metabolism,J1_C,3.772823102,J1
653,09105 Amino acid metabolism,J1_C,9.467102768,J1
654,09106 Metabolism of other amino acids,J1_C,1.585236041,J1
655,09107 Glycan biosynthesis and metabolism,J1_C,3.633491437,J1
656,09108 Metabolism of cofactors and vitamins,J1_C,4.512952741,J1
657,09122 Translation,J1_C,13.96799153,J1
658,09124 Replication and repair,J1_C,1.112921235,J1
659,09131 Membrane transport,J1_C,1.460064116,J1
660,09132 Signal transduction,J1_C,1.655934963,J1
661,09142 Cell motility,J1_C,4.93872238,J1
662,09181 Protein families: metabolism,J1_C,2.157921273,J1
663,09182 Protein families: genetic information processing,J1_C,9.991874998,J1
664,09183 Protein families: signaling and cellular processes,J1_C,4.671942324,J1
665,09191 Unclassified: metabolism,J1_C,4.193818845,J1
666,Other,J1_C,4.070004428,J1
667,09101 Carbohydrate metabolism,J10_A,16.91264627,J10
668,09102 Energy metabolism,J10_A,8.725759876,J10
669,09103 Lipid metabolism,J10_A,4.687559332,J10
670,09104 Nucleotide metabolism,J10_A,3.451997424,J10
671,09105 Amino acid metabolism,J10_A,9.582771776,J10
672,09106 Metabolism of other amino acids,J10_A,1.869112523,J10
673,09107 Glycan biosynthesis and metabolism,J10_A,3.216744274,J10
674,09108 Metabolism of cofactors and vitamins,J10_A,4.778217659,J10
675,09122 Translation,J10_A,12.29756473,J10
676,09124 Replication and repair,J10_A,1.088045749,J10
677,09131 Membrane transport,J10_A,1.682121879,J10
678,09132 Signal transduction,J10_A,1.603840342,J10
679,09142 Cell motility,J10_A,4.10079284,J10
680,09181 Protein families: metabolism,J10_A,2.237380353,J10
681,09182 Protein families: genetic information processing,J10_A,9.487960025,J10
682,09183 Protein families: signaling and cellular processes,J10_A,4.558508157,J10
683,09191 Unclassified: metabolism,J10_A,5.251855552,J10
684,Other,J10_A,4.467121234,J10
685,09101 Carbohydrate metabolism,J10_B,16.92461672,J10
686,09102 Energy metabolism,J10_B,8.743483437,J10
687,09103 Lipid metabolism,J10_B,4.712139484,J10
688,09104 Nucleotide metabolism,J10_B,3.479842073,J10
689,09105 Amino acid metabolism,J10_B,9.589194018,J10
690,09106 Metabolism of other amino acids,J10_B,1.849314032,J10
691,09107 Glycan biosynthesis and metabolism,J10_B,3.248838264,J10
692,09108 Metabolism of cofactors and vitamins,J10_B,4.754585748,J10
693,09122 Translation,J10_B,12.52248927,J10
694,09124 Replication and repair,J10_B,1.07259366,J10
695,09131 Membrane transport,J10_B,1.647848148,J10
696,09132 Signal transduction,J10_B,1.587542119,J10
697,09142 Cell motility,J10_B,4.187431408,J10
698,09181 Protein families: metabolism,J10_B,2.233195334,J10
699,09182 Protein families: genetic information processing,J10_B,9.52281957,J10
700,09183 Protein families: signaling and cellular processes,J10_B,4.471387862,J10
701,09191 Unclassified: metabolism,J10_B,5.081337197,J10
702,Other,J10_B,4.37134165,J10
703,09101 Carbohydrate metabolism,J10_C,16.71942739,J10
704,09102 Energy metabolism,J10_C,8.640177986,J10
705,09103 Lipid metabolism,J10_C,4.574059382,J10
706,09104 Nucleotide metabolism,J10_C,3.514473081,J10
707,09105 Amino acid metabolism,J10_C,9.590748636,J10
708,09106 Metabolism of other amino acids,J10_C,1.889904754,J10
709,09107 Glycan biosynthesis and metabolism,J10_C,3.310126939,J10
710,09108 Metabolism of cofactors and vitamins,J10_C,4.681397976,J10
711,09122 Translation,J10_C,12.84343619,J10
712,09124 Replication and repair,J10_C,1.064267864,J10
713,09131 Membrane transport,J10_C,1.590413861,J10
714,09132 Signal transduction,J10_C,1.601698242,J10
715,09142 Cell motility,J10_C,4.62820125,J10
716,09181 Protein families: metabolism,J10_C,2.174782906,J10
717,09182 Protein families: genetic information processing,J10_C,9.665729363,J10
718,09183 Protein families: signaling and cellular processes,J10_C,4.404998277,J10
719,09191 Unclassified: metabolism,J10_C,4.790452888,J10
720,Other,J10_C,4.315703011,J10
721,09101 Carbohydrate metabolism,J11_A,16.96020157,J11
722,09102 Energy metabolism,J11_A,8.779692448,J11
723,09103 Lipid metabolism,J11_A,4.726282107,J11
724,09104 Nucleotide metabolism,J11_A,3.403731928,J11
725,09105 Amino acid metabolism,J11_A,9.591155583,J11
726,09106 Metabolism of other amino acids,J11_A,1.901636714,J11
727,09107 Glycan biosynthesis and metabolism,J11_A,3.183985342,J11
728,09108 Metabolism of cofactors and vitamins,J11_A,4.801196664,J11
729,09122 Translation,J11_A,12.25441378,J11
730,09124 Replication and repair,J11_A,1.078902053,J11
731,09131 Membrane transport,J11_A,1.698547982,J11
732,09132 Signal transduction,J11_A,1.587027805,J11
733,09142 Cell motility,J11_A,4.167358158,J11
734,09181 Protein families: metabolism,J11_A,2.246306148,J11
735,09182 Protein families: genetic information processing,J11_A,9.428149622,J11
736,09183 Protein families: signaling and cellular processes,J11_A,4.488714286,J11
737,09191 Unclassified: metabolism,J11_A,5.238232535,J11
738,Other,J11_A,4.464465268,J11
739,09101 Carbohydrate metabolism,J11_B,16.72319678,J11
740,09102 Energy metabolism,J11_B,8.721507162,J11
741,09103 Lipid metabolism,J11_B,4.617829359,J11
742,09104 Nucleotide metabolism,J11_B,3.46162899,J11
743,09105 Amino acid metabolism,J11_B,9.477465164,J11
744,09106 Metabolism of other amino acids,J11_B,1.859607166,J11
745,09107 Glycan biosynthesis and metabolism,J11_B,3.362446584,J11
746,09108 Metabolism of cofactors and vitamins,J11_B,4.691302338,J11
747,09122 Translation,J11_B,12.50234607,J11
748,09124 Replication and repair,J11_B,1.064847646,J11
749,09131 Membrane transport,J11_B,1.589435678,J11
750,09132 Signal transduction,J11_B,1.655788389,J11
751,09142 Cell motility,J11_B,4.448017847,J11
752,09181 Protein families: metabolism,J11_B,2.143358178,J11
753,09182 Protein families: genetic information processing,J11_B,9.62994831,J11
754,09183 Protein families: signaling and cellular processes,J11_B,4.760060387,J11
755,09191 Unclassified: metabolism,J11_B,4.961352229,J11
756,Other,J11_B,4.329861718,J11
757,09101 Carbohydrate metabolism,J11_C,16.45184147,J11
758,09102 Energy metabolism,J11_C,8.594039387,J11
759,09103 Lipid metabolism,J11_C,4.466299501,J11
760,09104 Nucleotide metabolism,J11_C,3.567769462,J11
761,09105 Amino acid metabolism,J11_C,9.549085657,J11
762,09106 Metabolism of other amino acids,J11_C,1.835775993,J11
763,09107 Glycan biosynthesis and metabolism,J11_C,3.390591882,J11
764,09108 Metabolism of cofactors and vitamins,J11_C,4.639962764,J11
765,09122 Translation,J11_C,13.1117556,J11
766,09124 Replication and repair,J11_C,1.089444804,J11
767,09131 Membrane transport,J11_C,1.574253278,J11
768,09132 Signal transduction,J11_C,1.620115135,J11
769,09142 Cell motility,J11_C,4.757475672,J11
770,09181 Protein families: metabolism,J11_C,2.157114714,J11
771,09182 Protein families: genetic information processing,J11_C,9.754816837,J11
772,09183 Protein families: signaling and cellular processes,J11_C,4.528533193,J11
773,09191 Unclassified: metabolism,J11_C,4.639463114,J11
774,Other,J11_C,4.271661539,J11
775,09101 Carbohydrate metabolism,J12_A,16.81062217,J12
776,09102 Energy metabolism,J12_A,8.759958258,J12
777,09103 Lipid metabolism,J12_A,4.623023636,J12
778,09104 Nucleotide metabolism,J12_A,3.474153163,J12
779,09105 Amino acid metabolism,J12_A,9.457097758,J12
780,09106 Metabolism of other amino acids,J12_A,1.827180128,J12
781,09107 Glycan biosynthesis and metabolism,J12_A,3.379857281,J12
782,09108 Metabolism of cofactors and vitamins,J12_A,4.712945203,J12
783,09122 Translation,J12_A,12.53660617,J12
784,09124 Replication and repair,J12_A,1.072972775,J12
785,09131 Membrane transport,J12_A,1.59321083,J12
786,09132 Signal transduction,J12_A,1.621969646,J12
787,09142 Cell motility,J12_A,4.36934648,J12
788,09181 Protein families: metabolism,J12_A,2.139048536,J12
789,09182 Protein families: genetic information processing,J12_A,9.62655908,J12
790,09183 Protein families: signaling and cellular processes,J12_A,4.749033385,J12
791,09191 Unclassified: metabolism,J12_A,4.957583618,J12
792,Other,J12_A,4.288831888,J12
793,09101 Carbohydrate metabolism,J12_B,16.85414227,J12
794,09102 Energy metabolism,J12_B,8.727203771,J12
795,09103 Lipid metabolism,J12_B,4.67251557,J12
796,09104 Nucleotide metabolism,J12_B,3.458015615,J12
797,09105 Amino acid metabolism,J12_B,9.56957478,J12
798,09106 Metabolism of other amino acids,J12_B,1.884023812,J12
799,09107 Glycan biosynthesis and metabolism,J12_B,3.249922198,J12
800,09108 Metabolism of cofactors and vitamins,J12_B,4.760277505,J12
801,09122 Translation,J12_B,12.54835519,J12
802,09124 Replication and repair,J12_B,1.07205943,J12
803,09131 Membrane transport,J12_B,1.671530677,J12
804,09132 Signal transduction,J12_B,1.593751288,J12
805,09142 Cell motility,J12_B,4.29629007,J12
806,09181 Protein families: metabolism,J12_B,2.213710683,J12
807,09182 Protein families: genetic information processing,J12_B,9.545192098,J12
808,09183 Protein families: signaling and cellular processes,J12_B,4.44438239,J12
809,09191 Unclassified: metabolism,J12_B,5.046423076,J12
810,Other,J12_B,4.39262957,J12
811,09101 Carbohydrate metabolism,J12_C,16.69056153,J12
812,09102 Energy metabolism,J12_C,8.643997224,J12
813,09103 Lipid metabolism,J12_C,4.547782633,J12
814,09104 Nucleotide metabolism,J12_C,3.521748116,J12
815,09105 Amino acid metabolism,J12_C,9.569155182,J12
816,09106 Metabolism of other amino acids,J12_C,1.837667266,J12
817,09107 Glycan biosynthesis and metabolism,J12_C,3.328212271,J12
818,09108 Metabolism of cofactors and vitamins,J12_C,4.68690308,J12
819,09122 Translation,J12_C,12.83014639,J12
820,09124 Replication and repair,J12_C,1.081514894,J12
821,09131 Membrane transport,J12_C,1.636427583,J12
822,09132 Signal transduction,J12_C,1.612591876,J12
823,09142 Cell motility,J12_C,4.460617402,J12
824,09181 Protein families: metabolism,J12_C,2.205743157,J12
825,09182 Protein families: genetic information processing,J12_C,9.651252317,J12
826,09183 Protein families: signaling and cellular processes,J12_C,4.47885968,J12
827,09191 Unclassified: metabolism,J12_C,4.86506952,J12
828,Other,J12_C,4.351749874,J12
829,09101 Carbohydrate metabolism,J13_A,17.35315463,J13
830,09102 Energy metabolism,J13_A,8.714229405,J13
831,09103 Lipid metabolism,J13_A,4.772985277,J13
832,09104 Nucleotide metabolism,J13_A,3.32118871,J13
833,09105 Amino acid metabolism,J13_A,9.601972047,J13
834,09106 Metabolism of other amino acids,J13_A,1.974979849,J13
835,09107 Glycan biosynthesis and metabolism,J13_A,3.00112702,J13
836,09108 Metabolism of cofactors and vitamins,J13_A,4.860056044,J13
837,09122 Translation,J13_A,11.81055542,J13
838,09124 Replication and repair,J13_A,1.071524307,J13
839,09131 Membrane transport,J13_A,1.720337412,J13
840,09132 Signal transduction,J13_A,1.577382127,J13
841,09142 Cell motility,J13_A,4.211059483,J13
842,09181 Protein families: metabolism,J13_A,2.349549368,J13
843,09182 Protein families: genetic information processing,J13_A,9.238475404,J13
844,09183 Protein families: signaling and cellular processes,J13_A,4.229197456,J13
845,09191 Unclassified: metabolism,J13_A,5.608245401,J13
846,Other,J13_A,4.583980637,J13
847,09101 Carbohydrate metabolism,J13_B,16.93205623,J13
848,09102 Energy metabolism,J13_B,8.650190109,J13
849,09103 Lipid metabolism,J13_B,4.614999883,J13
850,09104 Nucleotide metabolism,J13_B,3.477398528,J13
851,09105 Amino acid metabolism,J13_B,9.526587145,J13
852,09106 Metabolism of other amino acids,J13_B,1.801744835,J13
853,09107 Glycan biosynthesis and metabolism,J13_B,3.253222122,J13
854,09108 Metabolism of cofactors and vitamins,J13_B,4.729669028,J13
855,09122 Translation,J13_B,12.55234187,J13
856,09124 Replication and repair,J13_B,1.088244798,J13
857,09131 Membrane transport,J13_B,1.613106556,J13
858,09132 Signal transduction,J13_B,1.616415206,J13
859,09142 Cell motility,J13_B,4.348347732,J13
860,09181 Protein families: metabolism,J13_B,2.251517868,J13
861,09182 Protein families: genetic information processing,J13_B,9.535586496,J13
862,09183 Protein families: signaling and cellular processes,J13_B,4.552227892,J13
863,09191 Unclassified: metabolism,J13_B,5.095227548,J13
864,Other,J13_B,4.361116149,J13
865,09101 Carbohydrate metabolism,J13_C,16.37285049,J13
866,09102 Energy metabolism,J13_C,8.438044909,J13
867,09103 Lipid metabolism,J13_C,4.189459452,J13
868,09104 Nucleotide metabolism,J13_C,3.73398629,J13
869,09105 Amino acid metabolism,J13_C,9.413711888,J13
870,09106 Metabolism of other amino acids,J13_C,1.523452285,J13
871,09107 Glycan biosynthesis and metabolism,J13_C,3.604619255,J13
872,09108 Metabolism of cofactors and vitamins,J13_C,4.48887918,J13
873,09122 Translation,J13_C,13.80513729,J13
874,09124 Replication and repair,J13_C,1.141090217,J13
875,09131 Membrane transport,J13_C,1.434097513,J13
876,09132 Signal transduction,J13_C,1.664335857,J13
877,09142 Cell motility,J13_C,4.864958515,J13
878,09181 Protein families: metabolism,J13_C,2.181166121,J13
879,09182 Protein families: genetic information processing,J13_C,9.969629908,J13
880,09183 Protein families: signaling and cellular processes,J13_C,4.824582028,J13
881,09191 Unclassified: metabolism,J13_C,4.287686775,J13
882,Other,J13_C,4.062312027,J13
883,09101 Carbohydrate metabolism,J14_A,16.92999173,J14
884,09102 Energy metabolism,J14_A,8.81733325,J14
885,09103 Lipid metabolism,J14_A,4.712542628,J14
886,09104 Nucleotide metabolism,J14_A,3.370630245,J14
887,09105 Amino acid metabolism,J14_A,9.569392096,J14
888,09106 Metabolism of other amino acids,J14_A,1.945892452,J14
889,09107 Glycan biosynthesis and metabolism,J14_A,3.194402032,J14
890,09108 Metabolism of cofactors and vitamins,J14_A,4.74946221,J14
891,09122 Translation,J14_A,12.23265753,J14
892,09124 Replication and repair,J14_A,1.047836579,J14
893,09131 Membrane transport,J14_A,1.687183729,J14
894,09132 Signal transduction,J14_A,1.599573953,J14
895,09142 Cell motility,J14_A,4.312293476,J14
896,09181 Protein families: metabolism,J14_A,2.185688811,J14
897,09182 Protein families: genetic information processing,J14_A,9.522219036,J14
898,09183 Protein families: signaling and cellular processes,J14_A,4.461147967,J14
899,09191 Unclassified: metabolism,J14_A,5.172447507,J14
900,Other,J14_A,4.489304768,J14
901,09101 Carbohydrate metabolism,J14_B,16.53975626,J14
902,09102 Energy metabolism,J14_B,8.690929088,J14
903,09103 Lipid metabolism,J14_B,4.582333166,J14
904,09104 Nucleotide metabolism,J14_B,3.510655892,J14
905,09105 Amino acid metabolism,J14_B,9.551645772,J14
906,09106 Metabolism of other amino acids,J14_B,1.924644293,J14
907,09107 Glycan biosynthesis and metabolism,J14_B,3.418908429,J14
908,09108 Metabolism of cofactors and vitamins,J14_B,4.657647416,J14
909,09122 Translation,J14_B,12.84195537,J14
910,09124 Replication and repair,J14_B,1.038296089,J14
911,09131 Membrane transport,J14_B,1.548583502,J14
912,09132 Signal transduction,J14_B,1.605331374,J14
913,09142 Cell motility,J14_B,4.760618221,J14
914,09181 Protein families: metabolism,J14_B,2.096971786,J14
915,09182 Protein families: genetic information processing,J14_B,9.745263873,J14
916,09183 Protein families: signaling and cellular processes,J14_B,4.519646434,J14
917,09191 Unclassified: metabolism,J14_B,4.702675217,J14
918,Other,J14_B,4.26413782,J14
919,09101 Carbohydrate metabolism,J14_C,16.51684963,J14
920,09102 Energy metabolism,J14_C,8.625378521,J14
921,09103 Lipid metabolism,J14_C,4.43957082,J14
922,09104 Nucleotide metabolism,J14_C,3.634709252,J14
923,09105 Amino acid metabolism,J14_C,9.485854106,J14
924,09106 Metabolism of other amino acids,J14_C,1.662775226,J14
925,09107 Glycan biosynthesis and metabolism,J14_C,3.496779542,J14
926,09108 Metabolism of cofactors and vitamins,J14_C,4.577088857,J14
927,09122 Translation,J14_C,13.19775426,J14
928,09124 Replication and repair,J14_C,1.088246798,J14
929,09131 Membrane transport,J14_C,1.510671891,J14
930,09132 Signal transduction,J14_C,1.655341523,J14
931,09142 Cell motility,J14_C,4.633820239,J14
932,09181 Protein families: metabolism,J14_C,2.172847056,J14
933,09182 Protein families: genetic information processing,J14_C,9.811691047,J14
934,09183 Protein families: signaling and cellular processes,J14_C,4.720362913,J14
935,09191 Unclassified: metabolism,J14_C,4.584408428,J14
936,Other,J14_C,4.185849888,J14
937,09101 Carbohydrate metabolism,J15_A,16.43307662,J15
938,09102 Energy metabolism,J15_A,8.533759386,J15
939,09103 Lipid metabolism,J15_A,4.570569528,J15
940,09104 Nucleotide metabolism,J15_A,3.502184325,J15
941,09105 Amino acid metabolism,J15_A,9.606943679,J15
942,09106 Metabolism of other amino acids,J15_A,1.960370924,J15
943,09107 Glycan biosynthesis and metabolism,J15_A,3.348553204,J15
944,09108 Metabolism of cofactors and vitamins,J15_A,4.683928142,J15
945,09122 Translation,J15_A,12.81796442,J15
946,09124 Replication and repair,J15_A,1.052735925,J15
947,09131 Membrane transport,J15_A,1.586854528,J15
948,09132 Signal transduction,J15_A,1.632475622,J15
949,09142 Cell motility,J15_A,4.83266577,J15
950,09181 Protein families: metabolism,J15_A,2.167448558,J15
951,09182 Protein families: genetic information processing,J15_A,9.704912014,J15
952,09183 Protein families: signaling and cellular processes,J15_A,4.423114303,J15
953,09191 Unclassified: metabolism,J15_A,4.767007672,J15
954,Other,J15_A,4.375435381,J15
955,09101 Carbohydrate metabolism,J15_B,16.39358822,J15
956,09102 Energy metabolism,J15_B,8.41147038,J15
957,09103 Lipid metabolism,J15_B,4.296553247,J15
958,09104 Nucleotide metabolism,J15_B,3.68868232,J15
959,09105 Amino acid metabolism,J15_B,9.537537188,J15
960,09106 Metabolism of other amino acids,J15_B,1.690194475,J15
961,09107 Glycan biosynthesis and metabolism,J15_B,3.501739189,J15
962,09108 Metabolism of cofactors and vitamins,J15_B,4.579363794,J15
963,09122 Translation,J15_B,13.54689291,J15
964,09124 Replication and repair,J15_B,1.097839578,J15
965,09131 Membrane transport,J15_B,1.548138861,J15
966,09132 Signal transduction,J15_B,1.650858484,J15
967,09142 Cell motility,J15_B,4.802344516,J15
968,09181 Protein families: metabolism,J15_B,2.207010724,J15
969,09182 Protein families: genetic information processing,J15_B,9.865353892,J15
970,09183 Protein families: signaling and cellular processes,J15_B,4.523486975,J15
971,09191 Unclassified: metabolism,J15_B,4.440626281,J15
972,Other,J15_B,4.21831897,J15
973,09101 Carbohydrate metabolism,J15_C,16.59389871,J15
974,09102 Energy metabolism,J15_C,8.541204523,J15
